Instancename,Id,State,Platform,InstanceType,Launchedtime,Region,Uptime,Instancebuilder
abc-28,i-073931219cf74f664,stopped,windows,t3a.large,2020-03-17 19:45:14+00:00,us-west-2, ,abc@abc.com
abc-29,i-041fa730252636280,running,Unix/Linux,t3.micro,2020-03-17 15:17:26+00:00,us-west-2,"278 days, 9:47:51.698960",abc@abc.com
abc-30,i-09cce266afadaedec,running,Unix/Linux,t3a.medium,2020-03-17 15:33:08+00:00,us-west-2,"278 days, 9:32:09.698979",abc@abc.com
abc-31,i-022b4ae3d54967486,running,windows,t3a.large,2020-05-13 13:15:18+00:00,us-west-2,"221 days, 11:49:59.698999",abc@abc.com
abc-32,i-049300708fe2b49f7,running,Unix/Linux,t3.micro,2020-04-03 09:30:46+00:00,us-west-2,"261 days, 15:34:31.699029",abc@abc.com
abc-33,i-068ec511e89d817d8,running,Unix/Linux,t3.micro,2020-04-21 05:58:09+00:00,us-west-2,"243 days, 19:07:08.699056",abc@abc.com
abc-34,i-00739138a82070860,stopped,Unix/Linux,t3.medium,2020-04-21 06:11:13+00:00,us-west-2, ,abc@abc.com
abc-35,i-00601b972ce901d37,running,Unix/Linux,t2.medium,2020-07-28 10:53:38+00:00,us-west-2,"145 days, 14:11:39.699099",abc@abc.com
abc-36,i-02b66b8e14dd08269,running,windows,m4.large,2020-04-21 06:11:14+00:00,us-west-2,"243 days, 18:54:03.699119",abc@abc.com
abc-37,i-0d64b9ba9e49154f8,running,Unix/Linux,t3.micro,2020-05-13 11:45:11+00:00,us-west-2,"221 days, 13:20:06.699148",abc@abc.com
abc-38,i-05b813ec64ff8aa51,stopped,Unix/Linux,t2.medium,2020-05-13 11:58:56+00:00,us-west-2, ,abc@abc.com
abc-39,i-07c7453d18e375f99,running,windows,m4.large,2020-05-13 11:58:56+00:00,us-west-2,"221 days, 13:06:21.699187",abc@abc.com
abc-40,i-0fb40ca24f1f9902b,running,Unix/Linux,t2.medium,2020-05-13 11:59:03+00:00,us-west-2,"221 days, 13:06:14.699208",abc@abc.com
abc-41,i-0ad66769dc25c54fd,running,Unix/Linux,t3.medium,2020-05-14 07:49:41+00:00,us-west-2,"220 days, 17:15:36.699239",abc@abc.com
abc-42,i-05d78c6a9e21a646b,running,Unix/Linux,t3a.nano,2020-07-06 13:16:43+00:00,us-west-2,"167 days, 11:48:34.699265",abc@abc.com
abc-43,i-05d6ba1c340341599,running,Unix/Linux,t3a.medium,2020-05-22 22:56:13+00:00,us-west-2,"212 days, 2:09:04.699281",abc@abc.com
abc-44,i-0b95f5b18a7b5e145,running,windows,t3a.medium,2020-08-06 20:29:59+00:00,us-west-2,"136 days, 4:35:18.699301",abc@abc.com
abc-45,i-096d9a73c56dfb4af,running,Unix/Linux,t3.micro,2020-05-26 17:17:51+00:00,us-west-2,"208 days, 7:47:26.699322",abc@abc.com
abc-46,i-07afb16084e4355d8,running,windows,m5.large,2020-05-26 17:43:50+00:00,us-west-2,"208 days, 7:21:27.699341",abc@abc.com
abc-47,i-083fa34a64850578c,running,Unix/Linux,t3.medium,2020-05-26 17:43:57+00:00,us-west-2,"208 days, 7:21:20.699362",abc@abc.com
abc-48,i-0e0924e925aee76ad,running,Unix/Linux,t3.micro,2020-05-26 20:20:49+00:00,us-west-2,"208 days, 4:44:28.699382",abc@abc.com
abc-49,i-0381b9391e0262184,running,windows,m5.large,2020-05-26 20:34:54+00:00,us-west-2,"208 days, 4:30:23.699401",abc@abc.com
abc-50,i-072d899452919010e,running,Unix/Linux,t3.medium,2020-05-28 08:37:37+00:00,us-west-2,"206 days, 16:27:40.699422",abc@abc.com
abc-51,i-0020dc718e7a7d399,running,Unix/Linux,t3.micro,2020-06-06 18:07:50+00:00,us-west-2,"197 days, 6:57:27.699451",abc@abc.com
abc-52,i-0afabc22c21b51e5a,running,windows,m5.large,2020-06-06 18:18:23+00:00,us-west-2,"197 days, 6:46:54.699487",abc@abc.com
abc-53,i-084db5b2d3d89afe5,running,Unix/Linux,t3.medium,2020-06-06 18:14:46+00:00,us-west-2,"197 days, 6:50:31.699509",abc@abc.com
abc-54,i-0cb64a34cd96bc96c,stopped,Unix/Linux,t3.micro,2020-06-06 19:08:33+00:00,us-west-2, ,abc@abc.com
abc-55,i-081442eff8773ec33,running,Unix/Linux,t3.micro,2020-06-06 19:13:22+00:00,us-west-2,"197 days, 5:51:55.699551",abc@abc.com
abc-56,i-01dd3257232314ac8,stopped,Unix/Linux,t3.medium,2020-06-06 19:15:49+00:00,us-west-2, ,abc@abc.com
abc-57,i-0c20173038c14b2b2,stopped,windows,m5.large,2020-06-06 19:19:28+00:00,us-west-2, ,abc@abc.com
abc-58,i-049f3f8f286c0f8d6,stopped,Unix/Linux,t3.medium,2020-06-06 19:28:01+00:00,us-west-2, ,abc@abc.com
abc-59,i-057bb4a16572bd924,running,Unix/Linux,t3.medium,2020-06-06 19:28:11+00:00,us-west-2,"197 days, 5:37:06.699631",abc@abc.com
abc-60,i-0e7d7a14dc389859c,running,windows,m5.large,2020-06-06 19:28:02+00:00,us-west-2,"197 days, 5:37:15.699651",abc@abc.com
abc-61,i-0f9f11c3323bd0bd6,running,Unix/Linux,t3.micro,2020-06-07 00:56:25+00:00,us-west-2,"197 days, 0:08:52.699672",abc@abc.com
abc-62,i-0c10a17ac172eba90,running,windows,m5.large,2020-06-07 01:10:43+00:00,us-west-2,"196 days, 23:54:34.699691",abc@abc.com
abc-63,i-04e5316052b448041,running,Unix/Linux,t3.medium,2020-06-19 09:30:15+00:00,us-west-2,"184 days, 15:35:02.699712",abc@abc.com
abc-64,i-0c2751f468393ce84,running,Unix/Linux,t3.medium,2020-10-26 15:12:46+00:00,us-west-2,"55 days, 9:52:31.699732",abc@abc.com
abc-65,i-0f1d5619a32f10165,running,Unix/Linux,t3.micro,2020-06-08 18:53:10+00:00,us-west-2,"195 days, 6:12:07.699752",abc@abc.com
abc-66,i-05d7e720300d64c9a,stopped,windows,m5.large,2020-06-08 19:04:33+00:00,us-west-2, ,abc@abc.com
abc-67,i-0e91c4bda02204363,stopped,windows,m5.large,2020-06-09 14:51:26+00:00,us-west-2, ,abc@abc.com
abc-68,i-020a209f81eab5dce,running,Unix/Linux,t3.micro,2020-06-09 14:33:44+00:00,us-west-2,"194 days, 10:31:33.699812",abc@abc.com
abc-69,i-0d0f0f96adf11b1f2,running,Unix/Linux,t3a.medium,2020-07-10 19:02:59+00:00,us-west-2,"163 days, 6:02:18.699831",abc@abc.com
abc-70,i-0b4cf40230c5c633e,stopped,Unix/Linux,t3.micro,2020-06-09 21:35:15+00:00,us-west-2, ,abc@abc.com
abc-71,i-07b38a5ed3c7beacf,running,Unix/Linux,t3.micro,2020-06-09 22:42:29+00:00,us-west-2,"194 days, 2:22:48.699872",abc@abc.com
abc-72,i-06dd718fb227e61d2,running,Unix/Linux,t3.micro,2020-06-11 19:48:29+00:00,us-west-2,"192 days, 5:16:48.699892",abc@abc.com
abc-73,i-073fc2ed09c3a7eed,running,windows,t3.large,2020-06-11 19:48:29+00:00,us-west-2,"192 days, 5:16:48.699912",abc@abc.com
abc-74,i-03579449bdd92af8f,running,Unix/Linux,t3.xlarge,2020-08-06 18:30:26+00:00,us-west-2,"136 days, 6:34:51.699932",abc@abc.com
abc-75,i-0fba59ebb03cef5d4,running,Unix/Linux,t3.micro,2020-06-22 17:12:48+00:00,us-west-2,"181 days, 7:52:29.699972",abc@abc.com
abc-76,i-0a933f977384a48f3,running,Unix/Linux,t3a.medium,2020-06-22 17:29:05+00:00,us-west-2,"181 days, 7:36:12.699991",abc@abc.com
abc-77,i-00c589dfef666b84a,running,Unix/Linux,t3.medium,2020-06-24 07:36:18+00:00,us-west-2,"179 days, 17:28:59.700011",abc@abc.com
abc-78,i-0ed26e2161bcd2b78,running,Unix/Linux,t3.medium,2020-06-24 07:36:32+00:00,us-west-2,"179 days, 17:28:45.700044",abc@abc.com
abc-79,i-05161a782937c507e,running,Unix/Linux,t3.medium,2020-07-07 15:50:09+00:00,us-west-2,"166 days, 9:15:08.700065",abc@abc.com
abc-80,i-024fba2a049db326a,running,Unix/Linux,t3.micro,2020-07-08 03:43:49+00:00,us-west-2,"165 days, 21:21:28.700083",abc@abc.com
abc-81,i-01813ce04436f191c,running,Unix/Linux,t3.medium,2020-12-02 00:58:05+00:00,us-west-2,"19 days, 0:07:12.700103",abc@abc.com
abc-82,i-0d1639d6dc6376a87,stopped,windows,m5.large,2020-12-02 00:58:14+00:00,us-west-2, ,abc@abc.com
abc-83,i-0f8035472b0715500,running,Unix/Linux,t3a.nano,2020-07-09 18:07:22+00:00,us-west-2,"164 days, 6:57:55.700143",abc@abc.com
abc-84,i-0f963521c8683379d,running,Unix/Linux,t3.micro,2020-07-15 09:06:04+00:00,us-west-2,"158 days, 15:59:13.700159",abc@abc.com
abc-85,i-0b08209e0f2aa599e,running,windows,m4.large,2020-07-15 09:20:38+00:00,us-west-2,"158 days, 15:44:39.700179",abc@abc.com
abc-86,i-0cff4b614879c3ffa,stopped,Unix/Linux,t2.medium,2020-07-15 09:20:37+00:00,us-west-2, ,abc@abc.com
abc-87,i-0e6a37e166d240254,stopped,Unix/Linux,t2.medium,2020-07-15 09:20:45+00:00,us-west-2, ,abc@abc.com
abc-88,i-07b3dd12bee27719e,running,Unix/Linux,t3.medium,2020-07-15 12:29:45+00:00,us-west-2,"158 days, 12:35:32.700240",abc@abc.com
abc-89,i-067434c9e1b7b10a6,running,Unix/Linux,t3.micro,2020-07-16 14:58:09+00:00,us-west-2,"157 days, 10:07:08.700258",abc@abc.com
abc-90,i-0689340949e0a4755,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700278",abc@abc.com
abc-91,i-054d217b16f5c6b87,running,windows,t3a.large,2020-07-16 16:29:45+00:00,us-west-2,"157 days, 8:35:32.700300",abc@abc.com
abc-92,i-0f220660c7343e926,running,Unix/Linux,t3.micro,2020-07-16 16:29:24+00:00,us-west-2,"157 days, 8:35:53.700319",abc@abc.com
abc-93,i-0c56a78ebcee1dbd0,running,Unix/Linux,t3.micro,2020-07-16 16:34:03+00:00,us-west-2,"157 days, 8:31:14.700339",abc@abc.com
abc-94,i-0c6a36803ec6fec32,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700359",abc@abc.com
abc-95,i-01c04262dba00b4a5,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700379",abc@abc.com
abc-96,i-0387a6e85271922f9,running,Unix/Linux,t3.micro,2020-07-16 17:07:38+00:00,us-west-2,"157 days, 7:57:39.700399",abc@abc.com
abc-97,i-0f4da72270ba1166f,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700419",abc@abc.com
abc-98,i-0501f2e18c1e7c3f6,running,Unix/Linux,t3.micro,2020-07-16 17:14:08+00:00,us-west-2,"157 days, 7:51:09.700438",abc@abc.com
abc-99,i-0c10f15f857296d89,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700458",abc@abc.com
abc-100,i-046b40a63a646a9fd,running,windows,t3a.large,2020-07-16 17:35:47+00:00,us-west-2,"157 days, 7:29:30.700478",abc@abc.com
abc-101,i-031372c4ba852f728,running,windows,t3a.large,2020-07-16 17:52:57+00:00,us-west-2,"157 days, 7:12:20.700497",abc@abc.com
abc-102,i-02279a028a1d0bec3,running,windows,t3a.large,2020-07-16 17:48:53+00:00,us-west-2,"157 days, 7:16:24.700516",abc@abc.com
abc-103,i-05983492bf0bd3716,running,Unix/Linux,t3.micro,2020-07-16 18:02:26+00:00,us-west-2,"157 days, 7:02:51.700550",abc@abc.com
abc-104,i-0043d4b035000319a,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700572",abc@abc.com
abc-105,i-0cef26ead2d6bb0cf,running,Unix/Linux,t3.micro,2020-07-16 18:25:25+00:00,us-west-2,"157 days, 6:39:52.700592",abc@abc.com
abc-106,i-0dff557dd0f0bcdce,running,Unix/Linux,t3.micro,2020-07-16 18:18:16+00:00,us-west-2,"157 days, 6:47:01.700612",abc@abc.com
abc-107,i-026a0cb1588514e94,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700632",abc@abc.com
abc-108,i-023fe5f316b3bd3a2,running,windows,t3a.large,2020-08-13 13:49:51+00:00,us-west-2,"129 days, 11:15:26.700651",abc@abc.com
abc-109,i-033c8eab93eb7ffa9,running,Unix/Linux,t3a.medium,2020-08-10 18:09:02+00:00,us-west-2,"132 days, 6:56:15.700670",abc@abc.com
abc-110,i-02fc63218d8d09c8a,running,windows,t3a.large,2020-08-13 14:06:24+00:00,us-west-2,"129 days, 10:58:53.700691",abc@abc.com
abc-111,i-001381111a088b441,running,windows,t3a.large,2020-07-16 18:59:09+00:00,us-west-2,"157 days, 6:06:08.700710",abc@abc.com
abc-112,i-0eeb5242649b2f6df,running,windows,t3a.large,2020-07-16 18:55:20+00:00,us-west-2,"157 days, 6:09:57.700729",abc@abc.com
abc-113,i-09ffe001185ebf359,running,Unix/Linux,t3.micro,2020-07-16 19:07:46+00:00,us-west-2,"157 days, 5:57:31.700748",abc@abc.com
abc-114,i-08cc0b0b76eec3f5a,running,Unix/Linux,t3a.medium,2020-10-29 16:28:33+00:00,us-west-2,"52 days, 8:36:44.700767",abc@abc.com
abc-115,i-0a238fa2f1f28b1fa,running,Unix/Linux,t3.micro,2020-07-27 14:56:13+00:00,us-west-2,"146 days, 10:09:04.700787",abc@abc.com
abc-116,i-0145f440ac5cf20d8,running,windows,m4.large,2020-07-27 15:10:28+00:00,us-west-2,"146 days, 9:54:49.700807",abc@abc.com
abc-117,i-013f364479913d98e,stopped,Unix/Linux,t2.medium,2020-07-27 15:10:28+00:00,us-west-2, ,abc@abc.com
abc-118,i-0e8af74c55166e08b,running,Unix/Linux,t2.medium,2020-07-27 15:11:03+00:00,us-west-2,"146 days, 9:54:14.700847",abc@abc.com
abc-119,i-08e9fa25dc2351ddb,running,Unix/Linux,t3.medium,2020-07-27 16:39:34+00:00,us-west-2,"146 days, 8:25:43.700868",abc@abc.com
abc-120,i-0df11a8833d82662a,running,Unix/Linux,t3.medium,2020-08-07 12:26:46+00:00,us-west-2,"135 days, 12:38:31.700893",abc@abc.com
abc-121,i-01daeb25eb751aab8,running,Unix/Linux,t3.medium,2020-08-12 04:34:56+00:00,us-west-2,"130 days, 20:30:21.700910",abc@abc.com
abc-122,i-061a995f3366cce56,running,windows,t3a.large,2020-10-29 16:07:33+00:00,us-west-2,"52 days, 8:57:44.700937",abc@abc.com
abc-123,i-0ad5663d9dd4ccf39,running,Unix/Linux,t3.micro,2020-08-28 07:44:00+00:00,us-west-2,"114 days, 17:21:17.700965",abc@abc.com
abc-124,i-0ebe4367f4facb094,running,Unix/Linux,t2.medium,2020-08-28 07:58:20+00:00,us-west-2,"114 days, 17:06:57.700984",abc@abc.com
abc-125,i-073e20f450e905b00,running,windows,m4.large,2020-08-28 07:58:12+00:00,us-west-2,"114 days, 17:07:05.701005",abc@abc.com
abc-126,i-0de8d64f876522bc7,running,Unix/Linux,t3.medium,2020-08-28 10:14:31+00:00,us-west-2,"114 days, 14:50:46.701026",abc@abc.com
abc-127,i-0fd196ef044b548b1,running,Unix/Linux,t3.micro,2020-09-01 06:00:56+00:00,us-west-2,"110 days, 19:04:21.701043",abc@abc.com
abc-128,i-06c18f5c7c70dd010,running,Unix/Linux,t2.medium,2020-09-01 06:14:52+00:00,us-west-2,"110 days, 18:50:25.701077",abc@abc.com
abc-129,i-01d4c687b08b087ba,running,windows,m4.large,2020-09-01 06:14:45+00:00,us-west-2,"110 days, 18:50:32.701100",abc@abc.com
abc-130,i-03d5b58af625326c9,stopped,Unix/Linux,t3.micro,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-131,i-0191663c527b11e26,stopped,Unix/Linux,t3.medium,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-132,i-0e61e5e0d60f26046,stopped,Unix/Linux,t3.medium,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-133,i-0239b399309f23263,stopped,windows,m5.large,2020-09-28 14:04:43+00:00,us-west-2, ,abc@abc.com
abc-134,i-0ef5bf2649947e37f,running,Unix/Linux,t3.medium,2020-09-09 11:38:21+00:00,us-west-2,"102 days, 13:26:56.701215",abc@abc.com
abc-135,i-028188e4e111849f7,running,Unix/Linux,t3.large,2020-09-15 12:58:49+00:00,us-west-2,"96 days, 12:06:28.701252",abc@abc.com
abc-136,i-095d1d57edef7c2a0,running,Unix/Linux,t3.medium,2020-09-16 18:34:09+00:00,us-west-2,"95 days, 6:31:08.701281",abc@abc.com
abc-137,i-0e3431dcfda265a42,stopped,Unix/Linux,t3.micro,2020-09-30 10:12:50+00:00,us-west-2, ,abc@abc.com
abc-138,i-06f0281ba1dd0f5b8,stopped,windows,m5.large,2020-09-30 10:12:50+00:00,us-west-2, ,abc@abc.com
abc-139,i-093bf4a1e1ae04013,stopped,Unix/Linux,t3.medium,2020-09-30 10:12:50+00:00,us-west-2, ,abc@abc.com
abc-140,i-0a27d29599126a6d1,running,Unix/Linux,t3.micro,2020-09-25 09:39:24+00:00,us-west-2,"86 days, 15:25:53.701397",abc@abc.com
abc-141,i-0b4c78bcf222e9bdc,running,windows,m5.large,2020-10-19 10:47:43+00:00,us-west-2,"62 days, 14:17:34.701416",abc@abc.com
abc-142,i-0217a6317105e8cba,running,Unix/Linux,t3.medium,2020-10-19 10:48:00+00:00,us-west-2,"62 days, 14:17:17.701436",abc@abc.com
abc-143,i-03529988863164578,running,Unix/Linux,t3.medium,2020-12-04 15:06:02+00:00,us-west-2,"16 days, 9:59:15.701456",abc@abc.com
abc-144,i-0cab06a803c31e1ad,stopped,Unix/Linux,t3.micro,2020-09-27 16:35:35+00:00,us-west-2, ,abc@abc.com
abc-145,i-0386862696a515e4c,stopped,Unix/Linux,t3.medium,2020-09-27 16:50:51+00:00,us-west-2, ,abc@abc.com
abc-146,i-0292e9553b82b692e,stopped,Unix/Linux,t3.medium,2020-09-27 16:51:00+00:00,us-west-2, ,abc@abc.com
abc-147,i-0daecd1ab34be85d1,stopped,windows,m5.large,2020-09-27 16:50:51+00:00,us-west-2, ,abc@abc.com
abc-148,i-09965ffc9f87257ac,running,Unix/Linux,t3.medium,2020-09-27 20:06:42+00:00,us-west-2,"84 days, 4:58:35.701550",abc@abc.com
abc-149,i-06141fc3dd2c9b941,running,Unix/Linux,t3.medium,2020-09-28 17:15:36+00:00,us-west-2,"83 days, 7:49:41.701569",abc@abc.com
abc-150,i-015d8283a60959aa6,running,Unix/Linux,t3.medium,2020-09-29 05:50:37+00:00,us-west-2,"82 days, 19:14:40.701587",abc@abc.com
abc-151,i-0e86e2b06aa606286,running,Unix/Linux,t3.micro,2020-09-30 10:30:52+00:00,us-west-2,"81 days, 14:34:25.701604",abc@abc.com
abc-152,i-020d4f61d7b14f827,running,windows,m5.large,2020-09-30 10:30:52+00:00,us-west-2,"81 days, 14:34:25.701624",abc@abc.com
abc-153,i-02c49aeb12c21367d,running,Unix/Linux,t3.medium,2020-09-30 10:30:52+00:00,us-west-2,"81 days, 14:34:25.701643",abc@abc.com
abc-154,i-06fd315f542cd23a5,running,Unix/Linux,t3.micro,2020-10-01 19:18:00+00:00,us-west-2,"80 days, 5:47:17.701689",abc@abc.com
abc-155,i-0624bd4273f20dc53,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-156,i-0386d5b059deb10e5,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.701729",abc@abc.com
abc-157,i-067e2b0886b2c8a56,running,Unix/Linux,t3.micro,2020-10-01 20:59:09+00:00,us-west-2,"80 days, 4:06:08.701749",abc@abc.com
abc-158,i-0e7c0a8ef9b870645,running,Unix/Linux,t3a.medium,2020-10-23 21:09:32+00:00,us-west-2,"58 days, 3:55:45.701770",abc@abc.com
abc-159,i-0ef86fc63f9304615,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-160,i-0f8b0c28111a26a7f,running,Unix/Linux,t3.micro,2020-10-01 21:39:21+00:00,us-west-2,"80 days, 3:25:56.701810",abc@abc.com
abc-161,i-0b72fefbe773e5fad,running,Unix/Linux,t3a.medium,2020-10-23 15:20:11+00:00,us-west-2,"58 days, 9:45:06.701829",abc@abc.com
abc-162,i-0c095220a196f7d6d,stopped,windows,t3a.medium,2020-10-23 11:44:08+00:00,us-west-2, ,abc@abc.com
abc-163,i-0bf621ded7360dcf5,running,Unix/Linux,t3.micro,2020-10-02 00:56:24+00:00,us-west-2,"80 days, 0:08:53.701869",abc@abc.com
abc-164,i-05f276cea21430718,running,Unix/Linux,t3a.medium,2020-10-23 14:36:19+00:00,us-west-2,"58 days, 10:28:58.701888",abc@abc.com
abc-165,i-0fea64eb1649da3d6,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-166,i-01a03e23e6224bde3,running,Unix/Linux,t3.micro,2020-10-02 01:17:38+00:00,us-west-2,"79 days, 23:47:39.701929",abc@abc.com
abc-167,i-0e27893fa333cf2bb,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-168,i-08262a0dcc17b2344,running,Unix/Linux,t3a.medium,2020-10-23 21:09:01+00:00,us-west-2,"58 days, 3:56:16.701968",abc@abc.com
abc-169,i-0f37180545d34095c,running,Unix/Linux,t3.micro,2020-10-02 01:43:45+00:00,us-west-2,"79 days, 23:21:32.701989",abc@abc.com
abc-170,i-0583383fd36e6cc52,stopped,windows,t3a.medium,2020-10-23 11:44:08+00:00,us-west-2, ,abc@abc.com
abc-171,i-00db94ea0b0b11034,running,Unix/Linux,t3a.medium,2020-10-23 15:19:54+00:00,us-west-2,"58 days, 9:45:23.702028",abc@abc.com
abc-172,i-039a92cfffe31b065,running,Unix/Linux,t3.micro,2020-10-02 13:59:08+00:00,us-west-2,"79 days, 11:06:09.702049",abc@abc.com
abc-173,i-0e45def1217aeb9a8,running,Unix/Linux,t3.micro,2020-10-02 14:09:17+00:00,us-west-2,"79 days, 10:56:00.702068",abc@abc.com
abc-174,i-0f3725b736fc6dd7f,running,Unix/Linux,t3.micro,2020-10-02 14:04:12+00:00,us-west-2,"79 days, 11:01:05.702088",abc@abc.com
abc-175,i-0191bf7c3fc3b16a1,running,Unix/Linux,t3a.medium,2020-10-23 21:09:22+00:00,us-west-2,"58 days, 3:55:55.702108",abc@abc.com
abc-176,i-001a9860fb93baf3d,running,Unix/Linux,t3a.medium,2020-10-23 15:19:51+00:00,us-west-2,"58 days, 9:45:26.702128",abc@abc.com
abc-177,i-00074798875c6c916,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-178,i-097fdf3aef6333c88,running,Unix/Linux,t3a.medium,2020-10-23 14:40:03+00:00,us-west-2,"58 days, 10:25:14.702186",abc@abc.com
abc-179,i-04a7d90bcd0851205,stopped,windows,t3a.medium,2020-10-23 11:45:54+00:00,us-west-2, ,abc@abc.com
abc-180,i-06696a5011771525d,stopped,windows,t3a.medium,2020-10-23 11:44:08+00:00,us-west-2, ,abc@abc.com
abc-181,i-0bc08c37741eb5316,stopped,Unix/Linux,m5.2xlarge,2019-10-29 21:44:46+00:00,us-west-2, ,abc@abc.com
